Listing URL,Listing Age (Days),Listing Status,Brand,Model,Engine CC,Engine Class,Asking Price (SGD),Mileage (km),Registration Date,COE Expiry,Age (Days),Age (Years),COE Remaining (Days),COE Remaining (Years),Road Tax Expiry,Number of Owners,Location,Price Changes (Original),Price change %,Payment option,Maintenance History,Accident/Damage Disclosure,Modifications,Tyre Condition,Chain/Sprocket Condition,Visible Rust/Corrosion,Visible Damage,Evidence Completeness,Description Notes,Red Flags,Comparable Group ID
"Honda CB190R / CBF190WH | COE Mar 2027 | S$1,300, Motorcycles, Used Motorcycles, Class 2B on Carousell",1,Available,Honda,CB190R,190,2B,1300,99000,27/3/2017,27/8/2027,3450,9.45,355,0.97,NA,NA,"Geylang, Dakota, Paya Lebar Central, Eunos, Ubi, Aljunied, Kaki Bukit",4501,71.12%,Not Specified,5,NA,NA,3,4,4,4,5,"Honda CB190R|CBF190WH | COE Mar 2027 | S$1,300 Negotiable Selling my Honda CB190R as I no longer need the bike. COE: 2 March 2027 Mileage: ~99,000 km Price: S$1,300, negotiable for sincere buyer Top box included Bike runs and rides well. Recently brought to workshop for evaluation and fresh engine oil. Maintenance / parts replaced: - Starter motor – Jul 2026 - Maxxis ST95 tyre set – Jun 2026 - Rear wheel bearings – May 2026 - Full servicing – Apr 2026 - S22 tyres – Dec 2025 - Cone bearing – Dec 2025 - Exhaust – Sep 2025 - Clutch plate, housing & cable – Aug 2025 - Air filter – Jul 2025 - Rear brake disc & pad – Jul 2025 - Magnetic coil, rectifier & gasket – Jun 2025 - Battery – Jun 2025 - Spark plug – Jun 2025 Known issue: When the engine is cold, it needs a little throttle during startup/warm-up. Once warmed up, bike runs normally. Workshop advised that this may be related to the throttle body, otherwise further engine inspection may be required. Chain need to tighten or change Selling as-is and being transparent about the condition. Welcome to view/test the bike before deciding. Good short-term transport until COE expiry. Negotiable for a smooth deal.",High mileage,HONDA|CB190R|2B|CC0-200|COE0-2|AGE6-10|M80-120K|COND4
https://carousell.app.link/J4vbt0sLW5b,7,Available,Honda,CB400X,399,2A,3200,,28/5/2017,28/5/2027,3388,9.28,264,0.72,NA,NA,"Hillview, Bukit Panjang, Bukit Batok, Choa Chu Kang",NA,#VALUE!,Not Specified,5,NA,NA,4,4,5,4,5,Honda CB400X (LED). COE till May 2027 renewable. Selling to upgrade. Used for weekend leisure rides and parked in a sheltered carpark.Full service done by Dreams Motorworks in March 2026. Receipt available. Michelin Road 6 front & rear (Dec 2025). Supersprox chain/sprocket. Givi top box. Fits up to 2 smaller helmets. See last pic. Neutral light works intermittently. This only affects the neutral light on the dashboard. Doesn't affect the gearbox or bother me so I didn't change it. Replacement OEM neutral switch costs $13.55 SGD on webike.sg (part# 35600-MK4-860) if you want.,Dashboard has display issues,HONDA|CB400X|2A|CC201-400|COE0-2|AGE6-10|M-NA|COND4
https://sgbikemart.com.sg/listing/usedbike/yamaha-yamaha-xmax-300/42531/,1,Available,Yamaha,Xmax 300,292,2A,17000,56000,28/12/2023,27/12/2033,983,2.69,2669,7.31,NA,1,,NA,#VALUE!,Not Specified,5,NA,NA,4,4,5,5,4,Yamaha Xmax 300 For Sale. Good Condition. Well Maintained. Original Specifications With No Modifications. Smooth And Comfortable For Daily Riding. Price Negotiable For Genuine Buyers. PM For More Information. Serious Buyers Only.,N/A,YAMAHA|XMAX300|2A|CC201-400|COE5-8|AGE0-3|M40-80K|COND5
https://sgbikemart.com.sg/listing/usedbike/yamaha-yamaha-t135-spark/42511/,1,Available,Yamaha,T135 Spark,15,2B,6777,34490,9/6/2011,30/4/2031,5568,15.24,1697,4.65,NA,3,"Woodlands, Admiralty",NA,#VALUE!,Not Specified,4,NA,NA,4,4,4,4,,Pre Owned Yamaha T135 Spark For Sale. COE Till Apr 2031.,Unclear display panel,YAMAHA|T135SPARK|2B|CC0-200|COE2-5|AGE15+|M20-40K|COND4
https://sgbikemart.com.sg/listing/usedbike/yamaha-yamaha-mt-03/42248/,1,Available,Yamaha,MT-03,321,2A,1900,NA,5/4/2017,4/4/2027,3441,9.42,210,0.57,NA,NA,"Woodlands, Admiralty",NA,#VALUE!,Not Specified,4,NA,NA,4,4,4,5,4,"Yamaha MT-03 For Sale. COE Till Apr 2027. Stock Condition. Loan Available, Welcome Trade In. Come Visit Us At Sin Boon Motor. Interested Buyers Are Welcome To Negotiate.",only 7 months coe left but never provide mileage so not sure how used the bike is although the appearance looks well-maintained,YAMAHA|MT-03|2A|CC201-400|COE0-2|AGE6-10|M-NA|COND4
https://sgbikemart.com.sg/listing/usedbike/yamaha-yamaha-sniper-155/40064/,1,Available,Yamaha,Sniper 155,155,2B,12888,NA,18/5/2023,17/5/2033,1207,3.30,2445,6.69,NA,NA,"Geylang, Dakota, Paya Lebar Central, Eunos, Ubi, Aljunied, Kaki Bukit",NA,#VALUE!,Not Specified,5,NA,NA,5,5,5,5,5,Yamaha Sniper 155 For Sale. Well Maintained. Good Condition. First Owner Only. Low Mileage. All Service. New Tyres. PM For More Information. Serious Buyers Only.,mileage not given so not sure how used bike is,YAMAHA|SNIPER155|2B|CC0-200|COE5-8|AGE3-6|M-NA|COND5
https://sgbikemart.com.sg/listing/usedbike/yamaha-yamaha-aerox-155/42510/,1,Available,Yamaha,Aerox 155,155,2B,10777,170208,23/10/2023,22/10/2033,1049,2.87,2603,7.13,NA,NA,"Woodlands, Admiralty",NA,#VALUE!,Not Specified,4,NA,NA,4,3,4,4,4,Pre Owned Yamaha Aerox 155 For Sale. COE Till Oct 2033.,,YAMAHA|AEROX155|2B|CC0-200|COE5-8|AGE0-3|M120K+|COND4
https://carousell.app.link/s9aSc1dy75b,7,Available,Honda,X-ADV 750,745,2,3000,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Kranji, Lim Chu Kang, Sungei Gedong, Tengah",NA,#VALUE!,Not Specified,3,NA,NA,5,5,5,5,4,"BRAND NEW HONDA X-ADV 750 FOR SALE!! Engine Type : 745cc liquid-cooled | Seat Height : 820mm | Fuel Tank Capacity : 13.2 litres | Fuel Consumption : Approx. 28km/l | Wet Weight : 237kg ??Come Visit Us For A Non-Obligation Discussion, Transparent Price Breakdown & Procedures On Getting Your Dream Bike.?? ?? Low Interest Rate ?? No Admin / Loan Fee ?? Warranty & Servicing Covered ?? No Hidden Cost ?? Transparent Price Breakdown ?? No First Month Upfront ?? Monthly Instalment Via PayNow ?? Online Processing Before Bike Collection ?? Aftersales Support & Services",mileage and COE information not given so not sure how used bike is,#VALUE!
https://carousell.app.link/7nWbyQVz75b,30,Available,Honda,Forza 350,330,2A,2000,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,"Jurong East, Jurong West, Boon Lay",NA,#VALUE!,Not Specified,3,NA,NA,5,5,5,5,3,"ooking for the perfect scooter with power, comfort, and practicality? The Honda ADV350 and Forza 350 are ready for you! ?? EXCLUSIVE FREEBIES ? Attractive 3.8% Interest Rate (Full Cash Purchase Welcome Too!) ? 4 FREE Servicing Sessions ? OBU Included ? Road Tax Included ? Free Bracket & Top Box (Selected Models Only) ? Free Phone Holder ?? EASY & HASSLE-FREE PURCHASE ? From Only $2000 Downpayment ? Insurance Included ? No Upfront Installment ? No First Payment Required ? No Payslip or CPF Statement Needed ? No Income Proof Required ? Trade-In Welcome ? Work Permit, S Pass & PR Welcome ?? 100% TRANSPARENT PRICING ?? No Admin Fee ?? No Processing Fee ?? No Hidden Costs ?? No Gimmicks ?? 100% Legit & Reliable ?? PayNow Accepted",mileage and COE information not given so not sure how used bike is,#VALUE!
https://carousell.app.link/kvXmvaoA75b,4,Available,Honda,RS150R,150,2B,3900,61315,13/9/2028,9/12/2028,2912,7.98,740,2.03,,1,"Queenstown, Alexandra, Tiong Bahru",NA,#VALUE!,Not Specified,3,NA,NA,5,5,4,4,4,Pre Owned Honda RS150 Coe Sep 2028 Renewable $3900 Before Insurance ? Registration Date Sep 2018 ? One Owner ? Good Condition ? No Hidden Cost ? No Admin Fees,maintenance history is not comprehensive,HONDA|RS150R|2B|CC0-200|COE2-5|AGE6-10|M40-80K|COND4
